Team,points-per-game,average-scoring-margin,field-goals-made-per-game,field-goals-attempted-per-game,offensive-efficiency,defensive-efficiency,effective-possession-ratio,effective-field-goal-pct,true-shooting-percentage,three-point-pct,two-point-pct,free-throw-pct,three-pointers-made-per-game,three-pointers-attempted-per-game,offensive-rebounds-per-game,defensive-rebounds-per-game,total-rebounds-per-game,offensive-rebounding-pct,defensive-rebounding-pct,total-rebounding-percentage,blocks-per-game,steals-per-game,assists-per-game,turnovers-per-game,assist--per--turnover-ratio,win-pct-all-games,win-pct-close-games,possessions-per-game,personal-fouls-per-game,opponent-points-per-game,opponent-average-scoring-margin,opponent-shooting-pct,opponent-effective-field-goal-pct,opponent-true-shooting-percentage,opponent-three-point-pct,opponent-two-point-pct,opponent-free-throw-pct,opponent-assists-per-game,opponent-turnovers-per-game,opponent-assist--per--turnover-ratio,opponent-offensive-rebounds-per-game,opponent-defensive-rebounds-per-game,opponent-total-rebounds-per-game,opponent-offensive-rebounding-pct,opponent-defensive-rebounding-pct,opponent-blocks-per-game,opponent-steals-per-game,opponent-effective-possession-ratio
Gonzaga,87.2,21.0,32.7,62.6,1.16,0.881,0.961,58.7,121.5,37.0,60.4,71.3,8.2,22.1,8.7,30.2,41.9,28.0,78.8,55.7,5.8,6.4,18.1,11.6,1.562,0.875,0.5,75.2,15.5,66.2,-21.0,38.0,43.1,92.2,30.5,41.8,69.9,10.2,12.0,0.849,8.1,22.2,33.4,21.2,72.0,2.9,6.1,0.948
S Dakota St,84.7,10.4,30.2,58.5,1.162,1.02,0.934,59.2,124.3,43.7,55.9,75.9,8.8,20.2,6.1,26.3,34.9,21.6,77.7,52.0,2.4,5.8,14.4,10.9,1.313,0.849,1.0,72.9,15.6,74.3,-10.4,44.1,51.4,107.6,35.2,50.3,74.3,12.2,11.3,1.072,7.5,22.2,32.2,22.3,78.4,2.7,4.8,0.948
Arizona,84.0,15.9,30.2,61.3,1.124,0.911,0.962,55.6,117.4,35.2,57.1,73.9,7.8,22.0,10.6,28.2,41.4,34.0,74.0,55.0,5.7,6.7,19.6,13.4,1.461,0.892,0.833,74.7,16.7,68.1,-15.9,38.7,44.4,94.2,32.8,41.8,67.4,11.8,12.8,0.928,9.9,20.5,33.8,26.0,66.0,2.9,6.9,0.962
Iowa,83.2,12.0,29.8,64.5,1.15,0.984,1.018,53.3,112.9,36.3,52.5,74.9,9.2,25.3,10.6,23.8,37.3,30.9,72.2,51.0,4.3,7.3,16.0,9.2,1.738,0.722,0.333,72.3,16.2,71.2,-12.0,43.7,49.7,105.0,32.9,49.9,71.1,14.4,13.6,1.057,9.1,23.6,35.9,27.8,69.1,2.9,5.3,0.938
Oral Roberts,81.5,3.6,29.7,65.5,1.104,1.055,0.985,53.9,112.2,37.2,52.3,72.2,11.3,30.2,8.5,27.5,38.8,24.7,77.2,51.2,4.1,4.7,11.3,9.6,1.179,0.571,0.333,73.8,15.9,77.8,-3.6,45.1,51.1,107.0,34.4,50.8,70.4,11.6,9.2,1.26,8.1,25.9,37.0,22.8,75.3,3.6,5.2,0.985
Duke,80.1,12.3,29.7,60.4,1.145,0.97,0.984,55.7,116.6,36.6,56.1,73.8,7.9,21.6,9.2,26.0,37.9,30.1,73.1,52.8,5.6,6.4,16.5,10.3,1.605,0.821,0.546,69.9,13.6,67.8,-12.3,41.7,47.1,98.4,32.0,46.6,69.1,13.3,10.7,1.236,9.6,21.3,33.9,26.9,69.9,3.2,6.0,0.983
St Johns,79.6,5.4,30.3,66.8,1.041,0.97,0.979,50.8,106.1,33.5,51.0,67.7,7.3,21.6,10.3,24.7,37.8,28.9,70.6,49.3,5.5,8.8,18.8,11.9,1.575,0.531,0.3,76.4,17.9,74.2,-5.4,42.4,48.9,105.1,34.1,47.5,71.6,13.1,15.9,0.821,10.3,25.3,38.9,29.4,71.1,4.1,6.1,0.926
Alabama,79.5,3.0,27.6,62.8,1.058,1.018,0.96,51.3,109.5,30.9,55.9,72.8,9.2,29.9,11.6,24.5,39.6,33.7,70.8,52.3,4.7,7.1,14.7,14.5,1.008,0.576,0.583,75.1,18.5,76.5,-3.0,43.7,49.8,106.8,33.8,49.3,71.5,12.5,13.2,0.945,10.1,22.8,36.1,29.2,66.3,3.7,7.8,0.959
Kentucky,79.4,12.9,30.3,62.7,1.115,0.934,0.998,53.1,111.7,34.7,53.5,72.6,6.1,17.5,11.4,25.4,40.1,36.3,77.4,56.9,4.2,6.8,16.1,11.6,1.393,0.765,0.25,71.3,14.3,66.6,-12.9,41.4,46.9,100.1,30.8,47.3,72.1,11.5,12.2,0.944,7.4,20.0,30.4,22.6,63.7,2.9,6.0,0.933
Purdue,79.4,10.9,27.7,56.6,1.153,0.995,0.971,56.5,118.7,38.4,55.8,71.1,8.5,22.2,9.8,25.9,38.7,34.3,78.7,57.1,3.5,4.6,16.2,11.8,1.378,0.784,0.4,68.8,14.5,68.4,-10.9,42.4,49.1,103.2,33.2,48.6,72.1,13.6,9.5,1.433,7.0,18.8,29.1,21.3,65.7,2.4,5.9,0.964
Toledo,79.1,9.5,29.5,62.2,1.108,0.976,0.984,53.0,112.3,35.2,53.1,76.0,6.9,19.5,9.1,27.4,39.6,28.3,73.7,52.8,2.8,5.4,15.1,10.3,1.466,0.758,0.714,71.4,15.2,69.6,-9.5,40.8,47.2,99.2,31.2,47.6,67.4,12.8,10.7,1.201,9.8,23.1,35.5,26.3,71.7,4.7,5.1,0.987
UAB,79.1,11.0,28.9,62.1,1.09,0.938,0.978,52.8,111.8,38.0,50.8,74.0,7.7,20.3,10.0,24.5,37.7,31.8,75.5,53.0,4.0,8.9,12.8,11.6,1.107,0.758,0.444,72.6,16.9,68.1,-11.0,42.3,48.3,103.4,32.9,47.8,70.6,11.3,14.9,0.755,7.9,21.5,33.5,24.5,68.2,3.7,5.5,0.904
Buffalo,78.7,5.1,29.3,64.8,1.068,0.998,0.986,51.6,108.3,34.4,51.6,71.6,8.3,24.1,12.4,26.3,41.9,35.4,73.9,54.7,4.1,6.8,14.7,13.4,1.096,0.607,0.286,73.7,17.4,73.6,-5.1,43.0,48.2,102.8,31.9,48.3,71.0,11.5,11.4,1.003,9.3,22.6,34.7,26.1,64.6,3.5,6.3,0.97
Princeton,78.6,6.6,29.8,61.9,1.11,1.017,0.961,56.7,115.3,38.4,55.9,64.0,10.7,27.8,7.3,25.5,35.3,22.6,78.1,50.6,1.7,5.7,14.9,10.1,1.479,0.75,0.727,70.8,14.0,72.0,-6.6,46.0,51.3,107.4,33.6,51.6,73.4,11.2,10.8,1.036,7.1,25.0,34.5,21.9,77.4,3.0,5.6,0.948
Wake Forest,78.5,8.5,27.9,57.9,1.07,0.954,0.917,55.6,117.0,34.4,58.5,73.0,8.5,24.6,7.8,26.6,36.8,25.8,75.9,52.2,3.9,6.5,15.1,13.9,1.08,0.714,0.556,73.4,16.0,70.1,-8.5,41.3,47.3,101.1,32.2,46.6,70.3,12.3,12.7,0.966,8.5,22.5,33.7,24.1,74.2,2.6,7.9,0.942
Auburn,78.2,11.0,27.7,63.7,1.049,0.901,0.979,49.9,106.8,31.8,51.3,73.1,8.1,25.4,10.5,25.9,40.4,31.5,74.2,52.5,8.0,8.4,14.7,12.1,1.219,0.824,0.5,74.6,18.5,67.2,-11.0,38.6,44.2,97.6,31.0,42.8,73.3,11.2,14.5,0.775,9.0,22.9,36.5,25.8,68.5,3.9,7.5,0.926
Kansas,78.2,11.0,28.6,59.8,1.093,0.94,0.968,53.8,113.3,36.1,53.6,71.7,7.2,19.8,9.8,25.7,37.9,31.6,73.8,53.4,4.3,6.3,15.3,12.1,1.267,0.85,0.8,71.5,15.9,67.3,-11.0,40.6,45.8,98.6,29.8,46.4,71.9,11.8,12.7,0.933,9.1,21.2,33.1,26.2,68.4,3.2,6.5,0.95
Col Charlestn,78.2,1.8,28.0,63.7,1.021,0.998,0.951,50.3,107.2,33.9,49.9,73.0,8.1,23.9,11.9,24.8,40.3,34.7,77.5,54.7,2.8,8.0,13.2,15.6,0.844,0.531,0.529,76.6,20.6,76.4,-1.8,45.2,51.2,110.0,34.1,51.3,72.3,12.6,14.3,0.878,7.2,22.4,33.5,22.5,65.3,5.1,8.0,0.907
N Carolina,77.9,6.6,27.6,61.8,1.074,0.983,0.976,51.5,110.2,35.8,50.1,76.4,8.4,23.5,9.9,28.2,41.3,29.8,80.9,55.8,3.9,5.2,14.9,11.7,1.279,0.744,0.5,72.5,14.5,71.3,-6.6,42.5,48.6,102.4,33.7,47.5,72.5,12.8,9.7,1.317,6.7,23.3,32.7,19.1,70.2,3.6,6.6,0.958
Bowling Grn,77.9,-4.4,27.4,64.4,1.027,1.085,0.975,48.6,105.0,33.1,48.0,74.2,7.9,23.8,10.3,23.8,37.4,28.6,70.7,49.0,3.4,7.2,11.9,12.2,0.972,0.379,0.6,75.8,18.1,82.2,4.4,45.8,53.5,113.4,36.0,53.1,74.7,14.6,12.9,1.137,9.8,25.7,39.0,29.3,71.4,2.7,6.2,0.96
Syracuse,77.4,2.3,27.7,61.5,1.077,1.045,0.972,52.5,110.9,37.7,49.8,73.7,9.1,24.1,8.7,23.2,36.3,27.2,70.0,49.0,3.8,7.0,14.6,10.7,1.362,0.485,0.333,71.8,14.2,75.1,-2.3,42.6,50.6,107.0,33.0,51.6,75.1,18.9,11.7,1.621,10.0,23.3,37.8,30.0,72.8,3.4,6.5,0.976
Santa Clara,77.3,5.4,28.8,59.4,1.062,0.988,0.93,54.5,115.0,37.8,53.5,76.2,7.2,19.1,6.4,26.1,35.5,21.3,75.3,50.4,3.8,6.0,15.1,11.5,1.31,0.636,0.5,72.7,15.0,71.9,-5.4,42.8,48.5,102.8,34.8,46.7,76.2,13.5,11.8,1.147,8.6,23.7,35.0,24.7,78.7,3.2,5.5,0.956
N Colorado,77.1,-0.9,27.3,57.5,1.072,1.084,0.919,56.2,117.0,37.9,55.6,70.6,9.9,26.2,6.3,24.4,33.1,20.9,76.8,49.3,2.7,4.0,11.9,12.1,0.979,0.571,0.722,72.0,17.7,78.0,0.9,46.6,52.8,111.9,38.2,50.6,73.7,11.3,9.8,1.145,7.4,23.9,34.1,23.2,79.1,2.2,6.0,0.966
Belmont,77.1,9.1,28.7,59.1,1.078,0.952,0.928,55.7,116.2,32.8,60.6,73.7,8.4,25.6,6.7,24.2,33.4,22.8,73.4,49.7,4.0,9.0,17.8,11.8,1.499,0.75,0.6,71.5,13.7,68.1,-9.1,42.7,49.4,103.8,33.7,48.7,70.4,13.2,14.7,0.898,8.8,22.7,33.8,26.6,77.2,3.5,6.6,0.917
Baylor,77.0,13.0,28.3,61.3,1.09,0.906,0.982,52.8,110.5,34.3,53.6,69.7,8.1,23.5,11.1,22.7,37.2,34.6,72.8,53.4,3.4,8.8,15.9,12.4,1.287,0.794,0.6,70.7,16.1,64.1,-13.0,42.3,47.8,101.7,30.2,49.2,70.3,13.2,15.9,0.831,8.5,20.9,32.4,27.2,65.4,2.8,6.4,0.896
VA Military,77.0,-0.4,26.4,58.5,1.079,1.085,0.924,55.3,117.0,37.4,54.4,79.6,12.0,32.1,6.4,25.0,34.7,20.8,71.5,48.0,2.6,4.6,15.0,11.8,1.271,0.448,0.333,71.4,15.2,77.4,0.4,42.9,51.1,108.2,34.7,50.2,75.2,13.1,9.9,1.323,9.9,24.4,37.6,28.5,79.2,3.1,6.9,1.0
W Illinois,76.8,-0.8,27.4,63.9,1.027,1.038,0.975,49.6,105.5,33.0,49.8,71.5,8.7,26.3,9.7,24.5,37.2,27.0,79.3,51.1,2.5,6.3,11.2,11.6,0.968,0.467,0.546,74.8,17.8,77.7,0.8,46.7,52.9,113.2,37.4,51.3,77.4,12.6,12.7,0.99,6.4,26.2,35.7,20.7,73.0,3.1,5.4,0.916
Hofstra,76.8,2.4,28.4,61.9,1.068,1.035,0.949,53.4,112.5,33.8,55.6,79.7,9.3,27.6,6.7,23.0,32.4,21.0,74.6,47.7,2.5,7.6,14.9,10.4,1.437,0.633,0.778,71.9,15.5,74.4,-2.4,46.2,54.4,113.8,38.3,52.1,73.6,15.4,14.4,1.069,7.8,25.3,35.6,25.4,79.0,3.0,5.2,0.909
Bryant,76.6,2.6,26.8,62.2,1.019,0.984,0.955,49.6,106.6,30.3,52.8,73.2,8.2,27.0,10.5,26.0,40.4,30.5,71.0,51.2,4.2,6.5,13.3,13.9,0.956,0.677,0.667,75.2,17.0,74.0,-2.6,42.1,47.6,100.5,32.5,47.0,68.9,15.1,12.1,1.248,10.6,23.8,38.5,29.0,69.5,4.4,7.3,0.98
Missouri St,76.5,7.2,27.8,58.2,1.1,0.995,0.952,54.6,116.1,36.4,54.6,79.9,7.9,21.8,7.2,25.4,35.1,24.0,78.6,52.0,3.3,5.3,11.8,10.6,1.115,0.667,0.4,69.6,15.3,69.3,-7.2,42.3,48.8,104.8,33.6,47.8,75.9,10.8,10.7,1.008,6.9,22.8,32.4,21.4,76.0,2.9,5.2,0.945
Fla Gulf Cst,76.5,1.8,27.2,60.5,1.048,1.023,0.943,53.3,111.1,35.1,53.8,68.6,10.0,28.5,9.4,25.2,38.0,28.7,73.2,51.8,4.9,6.4,15.1,13.6,1.11,0.625,0.667,73.0,14.6,74.7,-1.8,44.1,50.5,105.4,33.7,50.5,68.3,14.0,11.3,1.238,9.2,23.4,35.4,26.8,71.3,2.3,6.9,0.971
Furman,76.4,7.6,27.2,59.3,1.119,1.007,0.962,55.6,116.1,37.5,55.0,75.8,11.5,30.6,7.9,22.2,32.8,25.6,73.1,49.4,3.6,8.2,16.9,10.5,1.605,0.636,0.455,68.3,14.7,68.8,-7.6,45.4,51.5,108.4,33.3,52.5,72.9,13.3,12.8,1.038,8.2,23.0,33.5,26.9,74.4,2.9,5.8,0.932
San Francisco,76.3,8.9,27.5,60.6,1.056,0.934,0.953,53.1,110.9,34.3,54.4,69.0,9.3,27.1,9.3,25.3,37.5,28.4,77.9,53.0,4.6,7.7,12.8,12.7,1.007,0.697,0.462,72.3,18.1,67.5,-8.9,42.7,47.1,101.6,28.9,48.7,70.9,10.7,13.0,0.821,7.2,23.5,33.3,22.1,71.6,3.0,6.0,0.919
Murray St,76.3,12.9,27.5,59.7,1.1,0.914,0.987,52.6,110.7,34.5,53.2,69.4,7.8,22.5,10.7,24.5,38.1,33.5,76.6,54.6,3.2,7.7,14.0,11.6,1.209,0.903,1.0,69.3,15.4,63.4,-12.9,42.1,48.1,101.4,29.7,50.5,67.9,10.6,13.8,0.769,7.5,21.2,31.7,23.4,66.5,4.1,5.3,0.908
Cornell,76.3,0.0,26.8,58.8,1.025,1.024,0.913,53.5,112.5,34.1,55.6,70.3,9.3,27.4,7.9,25.8,36.3,24.6,73.0,49.7,2.7,7.5,15.8,14.4,1.099,0.542,0.375,74.4,19.4,76.2,0.0,44.2,51.0,107.5,32.3,52.9,68.5,13.1,13.3,0.991,9.5,24.3,36.7,27.0,75.4,3.0,6.8,0.95
New Orleans,76.0,-0.7,26.9,58.4,0.985,0.995,0.906,49.4,108.4,30.8,50.4,74.0,4.0,13.0,7.2,24.6,35.5,23.1,71.0,48.5,2.6,7.8,12.0,14.5,0.831,0.517,0.5,77.1,19.3,76.7,0.7,43.7,50.1,106.7,32.3,51.1,70.3,15.3,14.9,1.028,10.0,24.0,37.7,29.0,76.9,3.8,7.1,0.936
Arkansas,75.9,7.6,26.3,60.6,1.026,0.923,0.96,48.6,106.6,30.4,50.1,76.0,6.3,20.7,9.3,25.6,37.8,27.7,77.5,52.0,4.1,7.6,13.8,12.2,1.133,0.757,0.6,74.0,16.9,68.3,-7.6,41.2,47.5,102.8,32.4,46.8,73.1,12.5,14.8,0.845,7.4,24.2,34.9,22.5,72.3,3.5,6.6,0.9
S Utah,75.9,3.1,26.9,58.9,1.047,1.005,0.936,52.6,111.2,34.1,53.6,70.6,8.1,23.8,7.7,25.1,36.3,24.5,79.7,52.4,2.4,6.1,11.5,12.3,0.936,0.636,0.667,72.5,16.8,72.8,-3.1,44.8,51.6,109.8,34.4,51.6,76.0,12.5,12.2,1.025,6.4,23.7,33.0,20.3,75.5,3.5,5.6,0.92
SE Louisiana,75.9,-3.3,25.3,57.0,1.021,1.065,0.911,51.8,112.5,34.4,51.9,76.3,8.5,24.6,8.1,21.8,31.9,25.1,67.9,46.3,3.8,7.4,14.1,14.7,0.961,0.5,0.769,74.3,16.9,79.1,3.3,47.4,53.7,112.4,34.0,55.4,71.4,14.4,14.5,0.995,10.3,24.1,36.9,32.1,74.9,3.0,7.5,0.944
SE Missouri,75.7,-2.5,25.6,58.3,1.025,1.059,0.932,51.5,110.5,35.2,50.6,73.0,8.9,25.3,8.0,23.1,33.0,24.5,73.2,48.1,2.4,6.2,14.0,13.1,1.069,0.4,0.5,73.9,20.4,78.2,2.5,45.8,52.4,112.6,34.5,52.8,73.3,13.2,13.2,0.995,8.5,24.8,35.6,26.8,75.5,2.9,6.6,0.935
Nicholls St,75.7,2.3,29.7,64.4,1.02,0.989,0.967,52.1,106.5,32.1,54.5,61.8,7.8,24.3,10.1,24.3,37.2,29.4,71.6,49.5,3.9,7.7,12.8,12.6,1.019,0.586,0.571,74.2,19.0,73.4,-2.3,42.0,48.3,104.6,33.3,47.2,71.7,13.8,14.3,0.964,9.7,24.1,37.9,28.4,70.6,2.7,5.7,0.937
U Mass,75.7,-2.4,25.7,59.4,1.056,1.09,0.959,51.3,110.2,37.1,48.0,75.8,9.5,25.6,8.7,21.8,33.7,27.1,72.3,49.0,2.6,6.5,13.7,11.6,1.178,0.469,0.625,71.6,17.1,78.1,2.4,48.5,55.2,115.7,37.4,54.7,72.8,16.5,12.6,1.313,8.3,23.4,35.1,27.7,72.9,2.7,5.9,0.941
Wright State,75.5,3.2,27.4,59.1,1.061,1.017,0.952,51.7,111.0,33.4,52.5,76.6,6.5,19.3,8.9,22.8,34.3,28.9,72.0,50.6,2.9,5.9,14.0,12.3,1.139,0.6,0.455,71.2,14.7,72.3,-3.2,45.7,51.5,108.3,33.8,51.9,71.5,11.2,12.9,0.868,8.9,21.9,33.5,28.0,71.1,2.9,7.4,0.943
UCLA,75.4,10.9,27.6,61.4,1.087,0.93,1.009,50.5,107.8,35.3,49.4,74.1,6.8,19.2,9.6,23.7,36.6,29.0,77.5,52.5,3.3,7.0,13.9,8.9,1.553,0.771,0.333,69.3,15.8,64.5,-10.9,41.5,47.6,102.1,32.1,47.3,72.6,11.6,13.1,0.883,6.9,23.5,33.2,22.5,71.0,3.2,4.5,0.91
E Kentucky,75.3,-1.4,26.9,67.1,1.008,1.026,0.987,48.3,101.8,33.9,46.0,71.8,11.0,32.6,10.4,21.3,34.9,26.9,69.7,46.1,3.6,9.3,14.5,11.4,1.269,0.333,0.25,74.7,16.6,76.7,1.4,47.7,54.6,113.9,34.4,56.5,71.3,16.3,16.4,0.995,9.3,28.4,40.8,30.3,73.1,3.6,5.7,0.905
E Washingtn,75.2,-0.1,26.0,57.6,1.036,1.037,0.919,52.8,112.9,35.9,51.9,75.6,8.9,24.7,7.3,25.1,35.3,23.4,76.1,50.6,2.8,5.3,15.2,13.1,1.16,0.5,0.539,72.6,18.7,75.3,0.1,43.5,50.4,108.4,33.6,50.4,75.7,12.4,11.1,1.121,7.9,23.8,34.5,23.9,76.6,2.7,6.0,0.956
Iona,75.2,6.6,26.4,59.2,1.04,0.949,0.963,50.7,108.0,33.2,51.1,69.3,7.1,21.3,10.0,24.3,37.0,30.1,72.8,51.2,6.0,6.5,16.1,12.7,1.273,0.758,0.6,72.3,18.2,68.6,-6.6,41.6,46.6,100.9,30.2,47.2,70.6,11.5,13.4,0.86,9.1,23.2,35.3,27.2,69.9,3.2,7.1,0.94
Weber State,75.2,3.5,26.0,55.5,1.049,1.001,0.919,53.5,114.9,34.6,54.5,75.4,7.4,21.4,5.7,23.9,31.2,18.9,76.1,48.1,2.5,7.4,10.5,11.6,0.908,0.613,0.333,71.6,15.8,71.7,-3.5,44.9,52.3,110.1,38.1,49.2,72.8,13.2,14.4,0.917,7.5,24.6,33.7,23.9,81.1,1.8,5.2,0.904
Memphis,75.2,6.8,26.9,57.4,1.034,0.94,0.932,52.3,111.0,35.5,51.9,69.4,6.2,17.5,11.0,24.3,38.8,35.8,71.1,54.3,5.5,8.4,15.8,16.0,0.991,0.667,0.25,72.7,18.8,68.3,-6.8,39.7,46.6,100.4,32.0,45.5,69.4,13.3,14.5,0.914,9.9,19.8,32.7,28.9,64.2,3.5,9.2,0.936
Colgate,75.0,7.4,27.3,57.9,1.085,0.978,0.945,55.6,115.1,40.3,52.1,69.5,9.8,24.3,7.7,25.8,36.0,25.0,77.2,51.8,3.5,6.1,16.9,11.5,1.473,0.647,0.143,69.1,14.6,67.6,-7.4,42.9,48.9,102.4,33.7,48.0,67.3,13.7,10.8,1.264,7.6,23.0,33.5,22.8,75.0,2.9,6.5,0.953
Montana St,75.0,5.3,25.6,54.7,1.054,0.98,0.918,53.6,115.3,36.6,52.8,75.1,7.3,19.9,7.1,24.3,34.3,25.0,79.2,52.5,3.7,5.1,12.4,13.0,0.958,0.758,0.714,71.1,18.4,69.7,-5.3,43.2,49.1,107.1,33.2,48.8,75.5,9.7,12.7,0.766,6.4,21.4,31.0,20.8,75.0,2.9,6.5,0.911
Cleveland St,74.9,3.9,27.3,57.3,1.047,0.993,0.945,53.2,111.5,32.6,55.3,67.3,6.3,19.3,9.8,22.7,34.9,32.3,70.5,51.6,3.3,8.4,16.5,13.8,1.201,0.621,0.5,71.5,18.9,71.0,-3.9,42.4,49.4,107.4,32.3,50.0,76.3,13.2,15.3,0.862,9.5,20.6,32.8,29.5,67.7,3.8,7.8,0.919
Houston,74.8,16.1,27.7,59.7,1.109,0.871,1.016,53.1,110.3,33.8,54.5,66.7,7.8,23.2,12.2,24.2,39.0,37.6,76.2,54.9,5.2,8.0,16.2,11.1,1.459,0.842,0.5,67.5,17.2,58.8,-16.1,37.1,43.3,95.7,28.8,43.4,71.7,10.8,14.2,0.76,7.6,20.2,32.0,23.8,62.4,2.3,5.9,0.901
Connecticut,74.8,9.5,26.7,61.2,1.07,0.934,1.004,49.6,106.7,35.2,48.0,75.3,7.4,21.1,12.0,24.9,40.4,36.6,75.2,55.1,6.4,5.9,14.0,11.8,1.193,0.697,0.3,69.9,16.8,65.3,-9.5,40.3,46.0,98.9,35.3,42.6,68.7,10.3,12.2,0.839,8.2,20.9,32.9,24.8,63.4,3.3,6.3,0.942
Saint Louis,74.7,6.4,26.7,59.2,1.046,0.956,0.953,50.6,109.2,36.1,49.1,76.1,6.5,18.1,9.8,25.3,38.4,31.6,75.7,54.1,3.0,6.2,14.4,13.1,1.097,0.647,0.455,71.4,17.9,68.3,-6.4,42.4,48.2,102.4,32.3,48.0,67.3,11.7,12.6,0.93,8.1,21.2,32.6,24.3,68.4,4.6,7.0,0.938
Vermont,74.6,13.5,27.4,55.7,1.123,0.919,0.942,57.1,119.0,36.8,58.6,74.1,8.8,24.0,5.8,26.1,34.7,20.9,82.6,54.3,2.4,5.1,15.0,9.6,1.562,0.818,0.429,66.5,14.2,61.1,-13.5,41.2,47.7,100.4,34.4,45.3,69.1,9.9,11.0,0.898,5.5,21.8,29.2,17.4,79.1,2.8,4.8,0.917
Davidson,74.6,8.5,26.2,54.9,1.115,0.988,0.949,55.7,117.7,38.5,54.2,75.4,8.7,22.6,6.3,24.9,33.6,21.9,79.0,51.8,2.6,4.6,14.4,9.7,1.477,0.788,0.636,66.9,14.9,66.1,-8.5,42.2,49.5,105.7,33.6,48.9,73.9,12.0,11.0,1.091,6.6,22.5,31.2,21.0,78.1,2.3,5.0,0.934
Illinois,74.4,7.2,26.2,58.3,1.064,0.961,0.964,52.5,110.8,35.9,51.4,70.6,8.9,24.9,9.8,25.4,38.5,31.2,75.2,53.8,3.0,5.2,15.2,12.4,1.228,0.697,0.636,70.0,16.3,67.2,-7.2,41.3,46.0,98.9,32.0,45.2,71.5,10.2,10.6,0.96,8.4,21.6,33.0,24.8,68.8,2.9,6.6,0.968
Xavier,74.1,4.9,26.5,58.7,1.036,0.968,0.961,50.9,108.2,32.2,52.2,69.8,6.7,20.9,8.9,25.4,37.1,27.3,76.1,51.9,4.3,7.5,14.8,11.7,1.269,0.639,0.636,71.5,15.4,69.2,-4.9,42.4,48.3,103.2,32.2,48.3,74.6,12.3,12.7,0.969,8.0,23.6,34.4,23.9,72.7,3.5,6.8,0.934
Marquette,74.0,2.4,26.9,59.8,1.003,0.971,0.915,52.1,110.0,34.4,52.6,74.1,8.6,25.0,6.1,25.4,34.8,19.4,70.1,46.9,5.2,7.8,16.0,12.4,1.29,0.594,0.714,73.8,17.4,71.6,-2.4,41.2,47.0,100.6,32.0,46.4,70.3,14.5,13.7,1.06,10.8,25.4,39.4,29.9,80.6,3.2,7.0,0.961
W Kentucky,74.0,3.1,26.7,57.9,1.028,0.986,0.928,52.7,111.3,35.9,52.0,71.6,7.6,21.1,7.2,24.0,34.5,23.3,71.9,48.3,5.6,8.1,13.2,12.4,1.065,0.567,0.25,71.9,11.3,70.9,-3.1,42.9,50.6,104.8,35.5,48.5,72.2,16.0,13.9,1.151,9.4,23.6,36.9,28.1,76.7,3.0,6.7,0.937
Ball State,74.0,-3.4,25.2,57.2,1.007,1.054,0.921,51.3,109.4,35.7,49.8,69.6,8.4,23.6,8.2,24.3,35.5,25.4,73.8,49.4,2.4,6.0,13.0,14.1,0.922,0.433,0.667,73.4,18.2,77.4,3.4,44.6,52.4,111.0,36.3,50.8,71.8,13.5,12.3,1.097,8.6,24.2,36.4,26.2,74.6,2.9,7.5,0.95
Miami (FL),73.9,3.6,27.3,57.7,1.066,1.014,0.95,53.3,112.7,33.9,54.8,74.2,6.9,20.5,6.1,21.9,30.6,20.0,71.3,46.4,3.2,8.9,14.1,9.5,1.486,0.703,0.625,69.4,14.9,70.4,-3.6,45.9,52.5,109.1,34.5,53.0,67.9,15.2,13.9,1.091,8.8,24.2,35.4,28.7,80.0,3.4,5.1,0.926
Citadel,73.9,-4.8,25.8,59.4,1.007,1.073,0.933,52.0,108.8,34.8,51.7,68.0,10.3,29.5,7.4,25.2,35.7,21.9,72.4,47.5,3.5,4.5,15.2,12.3,1.232,0.357,0.455,73.4,15.5,78.7,4.8,44.0,50.4,106.9,33.0,50.9,74.3,14.3,9.9,1.435,9.6,26.5,39.4,27.6,78.1,2.8,6.9,0.996
Abl Christian,73.9,4.3,24.9,58.6,1.005,0.946,0.945,48.4,106.3,32.2,48.4,74.9,6.8,21.3,8.7,20.1,31.2,25.7,71.2,46.7,1.8,10.3,14.2,12.7,1.115,0.656,0.636,73.5,22.4,69.5,-4.3,45.0,51.9,113.0,34.6,52.0,72.1,11.6,20.1,0.578,8.2,25.1,35.5,28.8,74.3,3.9,5.4,0.837
BYU,73.8,4.8,27.2,59.9,1.035,0.967,0.946,51.8,109.2,34.6,51.9,72.3,7.7,22.4,8.9,27.1,39.5,28.3,79.3,54.8,3.2,4.7,14.3,12.8,1.113,0.667,0.429,71.4,17.8,69.0,-4.8,42.0,47.7,101.7,30.5,48.9,68.6,12.0,10.5,1.151,7.1,22.6,32.5,20.7,71.7,3.0,6.3,0.953
S Methodist,73.8,6.7,25.1,56.9,1.033,0.939,0.939,51.5,110.9,35.4,50.4,75.0,8.5,24.0,7.9,26.5,37.8,25.2,72.1,50.5,4.3,6.3,13.8,12.3,1.123,0.727,0.75,71.5,15.2,67.1,-6.7,39.5,44.6,95.3,29.8,44.5,69.6,13.1,11.8,1.108,10.3,23.6,37.1,27.9,74.8,4.1,7.1,0.978
